label,text
Meniere's Disease,I've seen signs of hearing loss along with fatigue.
Multiple Sclerosis,"I've been having balance problems, and it's been getting worse."
Dengue,"Whenever I rest, the pain seems to intensify."
Bladder Cancer,I noticed both of my legs have become swollen lately
Gastroesophageal Reflux Disease,"It feels like food or acid is backing up in my throat. My chest discomfort only becomes worse while I'm lying down. After eating, I frequently have heartburn or indigestion and throw up."
Lupus,I've seen signs of fever along with fatigue.
Migraine,I have throbbing headache and also noticed related problems recently.
Dimorphic Hemorrhoids,Lately I've been experiencing constipation and pain during bowel movements. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Tuberculosis,I've seen signs of persistent cough along with fatigue.
Varicose Veins,The skin around the veins on my legs is dry and flaky. It seems there is a major bruise and my legs have started to swell.
Impetigo,I've seen signs of fatigue along with fatigue.
Meniere's Disease,I'm feeling discomfort due to vertigo.
Endometriosis,"Lately, I noticed fatigue, which is unusual for me."
Graves' Disease,"I've been having anxiety, and it's been getting worse."
Diabetes,My wound is healing slowly and at a slower rate. My hands and feet are numb and tingling at the same time.
Bronchial Asthma,"Recently, I have had a number of concerning symptoms, including a dry cough, impaired breathing, a high fever, and a lot of mucus. I also feel very weak and tired."
Psoriasis,My skin is extremely sensitive and quickly irritated by changes in temperature or humidity. My nails have developed dents on them. I am worried about this sudden change.
Sarcoidosis,"There is a persistent issue with skin lesions, and I'm concerned."
Urinary Tract Infection,"I've been having cough, and it's been getting worse."
Migraine,"Along with eyesight problems, increased appetite, a sore neck, melancholy, irritability, and regular headaches, I have also been experiencing acid reflux, indigestion, and frequent migraines. My regular activities have been made more challenging by these symptoms, which have been causing me a great deal of distress."
Urinary Tract Infection,I've seen signs of pain along with fatigue.
Ebola Virus,There’s a pounding headache along with blurry vision
Malaria,"I have a high fever, chills, and severe itching. Along with my headache and excessive sweating, I've been terrible with nausea and muscle ache."
Sarcoidosis,I have chest pain and also noticed related problems recently.
Bronchial Asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so exhausted and tired from having to cope with all of this."
Psoriasis,The skin flaking is affecting my daily life significantly.
Ehlers-Danlos Syndrome,I've seen signs of fatigue along with fatigue.
Endometriosis,"Lately, I noticed pelvic pain, which is unusual for me."
Acne,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurring a lot."
Lupus,"It started with fatigue, but now it's spreading."
Sjogren's Syndrome,I've seen signs of fatigue along with fatigue.
Migraine,My doctor mentioned that my throbbing headache could be related to Migraine.
Ehlers-Danlos Syndrome,"I've been having fatigue, and it's been getting worse."
Acne,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurring a lot.
Crohn's Disease,"It started with weight loss, but now it's spreading."
Hypertension,"It started with vision problems, but now it's spreading."
Cushing's Syndrome,I've seen signs of weight gain along with fatigue.
ALS,I've seen signs of limb weakness along with fatigue.
Migraine,"In addition to recurrent headaches and blurred vision, increased appetite, a stiff neck, sadness, irritability, and visual disturbance, I have been having stomach problems, including indigestion and acidity."
Dengue,I have fever and also noticed related problems recently.
Parkinson's Disease,"There is a persistent issue with impaired balance, and I'm concerned."
Hypertension,"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while driving home from work. It's been hard for me to focus and concentrate on the road since then."
Hiv/Aids,My doctor mentioned that my fatigue could be related to Hiv/Aids.
Hiv/Aids,"Whenever I rest, the cough seems to intensify."
Dengue,"I am experiencing very high fever and chills every night. It is really concerning me. Moreover, I don’t feel like eating anything and my back, arms, legs pain a lot. There is a strange pain behing my eyes. I can’t do any physical activities. "
Gastroesophageal Reflux Disease,I have pain and also noticed related problems recently.
Parkinson's Disease,My doctor mentioned that my impaired balance could be related to Parkinson's Disease.
Fungal Infection,"Doctor, I have these red rashes that keep popping up and my skin is continuously itching. In addition, I've observed some odd color-different spots on my skin, as well as some little nodules on my skin that appear to be expanding."
Graves' Disease,"Lately, I noticed weight loss, which is unusual for me."
Hepatitis B,My tongue has turned a pale white color.
Bladder Cancer,I’ve started leaking small amounts of urine between bathroom visits
Pneumonia,"I have a really high fever, and I have problems breathing. My heart is racing quite quickly, I'm perspiring a lot, and I feel chilly and exhausted. I'm also about to cough out some brownish phlegm."
Hepatitis B,I've seen signs of fever along with fatigue.
Multiple Sclerosis,My doctor mentioned that my muscle weakness could be related to Multiple Sclerosis.
Dengue,"There is a persistent issue with fatigue, and I'm concerned."
Sjogren's Syndrome,My doctor mentioned that my dry mouth could be related to Sjogren's Syndrome.
Ehlers-Danlos Syndrome,I've seen signs of joint hypermobility along with fatigue.
Cystic Fibrosis,"Whenever I rest, the lung infections seems to intensify."
Cystic Fibrosis,My doctor mentioned that my lung infections could be related to Cystic Fibrosis.
Fungal Infection,I have pain and also noticed related problems recently.
Jaundice,"It started with fever, but now it's spreading."
Common Cold,I have pain and also noticed related problems recently.
Psoriasis,My doctor mentioned that my scaly skin patches could be related to Psoriasis.
Chronic Kidney Disease,The pain is affecting my daily life significantly.
Parkinson's Disease,"It started with tremors, but now it's spreading."
Common Cold,"I've been having fatigue, and it's been getting worse."
Cystic Fibrosis,I have salty skin and also noticed related problems recently.
Drug Reaction,I've seen signs of pain along with fatigue.
Common Cold,"I've been quite exhausted and ill. My throat has been quite painful, and I've had a fairly nasty cough. I've got a lot of chills and a pretty high temperature. Just feeling extremely run down and weak"
Urinary Tract Infection,My doctor mentioned that my cough could be related to Urinary Tract Infection.
Ehlers-Danlos Syndrome,"I've been having easy bruising, and it's been getting worse."
Migraine,"Along with increased hunger, a sore neck, melancholy, impatience, and visual distortion, I've also been experiencing acid reflux, indigestion, frequent headaches, and blurred eyesight."
Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes."
Impetigo,"Lately, I noticed cough, which is unusual for me."
Arthritis,I've been feeling truly frail in my muscles recently and my neck has been truly solid. It has been difficult for me to move around because my joints have been swelling. Walking has also been extremely painful.
Bronchial Asthma,I've seen signs of fever along with fatigue.
Impetigo,I have a high fever and am really weak. My face has gotten sores. The blisters are itchy and painful. A yellow ooze frequently leaks from the wounds.
Hypertension,"I've been having high blood pressure, and it's been getting worse."
Cervical Spondylosis,"I've had back pain, a cough that won't go away, and limb weakness. I've been experiencing neck pain, instability, and balance concerns."
Dimorphic Hemorrhoids,"Lately, I noticed cough, which is unusual for me."
Cystic Fibrosis,"Whenever I rest, the salty skin seems to intensify."
Dimorphic Hemorrhoids,"Lately, I noticed fever, which is unusual for me."
Sarcoidosis,"I've been having skin lesions, and it's been getting worse."
Typhoid,"I have constipation and belly pain, and it's been really uncomfortable. The belly pain has been getting worse and is starting to affect my daily life. Moreover, I get chills every night, followed by a mild fever."
Dengue,"Lately, I noticed pain, which is unusual for me."
Sjogren's Syndrome,"Lately, I noticed joint pain, which is unusual for me."
Dimorphic Hemorrhoids,The cough is affecting my daily life significantly.
Dengue,"I have been experiencing severe joint pain that makes it difficult for me to move and perform my daily activities. Also, I have lost my apetite because of which I feel weak."
Sjogren's Syndrome,I'm feeling discomfort due to dry eyes.
Tuberculosis,I can’t seem to catch my breath after climbing stairs.
Hepatitis B,There’s a pressure in my upper right abdomen after meals.
Chicken Pox,Enlarged lymph nodes are giving me a great deal of pain. I have rashes all over my body and because of which I cannot sleep all night.
Sarcoidosis,I have chest pain and also noticed related problems recently.
Graves' Disease,My doctor mentioned that my goiter could be related to Graves' Disease.
Endometriosis,"Lately, I noticed pain during sex, which is unusual for me."
Hypertension,"I have been feeling disoriented and dizzy, and have also had trouble keeping my balance. My headache has been a constant presence as well."
Cystic Fibrosis,"There is a persistent issue with persistent cough, and I'm concerned."
Diphtheria,I feel weak and don’t have energy to do basic tasks
Sjogren's Syndrome,The dry mouth is affecting my daily life significantly.
Cushing's Syndrome,My doctor mentioned that my moon face could be related to Cushing's Syndrome.
Cushing's Syndrome,I've seen signs of thin skin along with fatigue.
Cystic Fibrosis,"I've been having salty skin, and it's been getting worse."
Fungal Infection,"There is a persistent issue with cough, and I'm concerned."
Diphtheria,"It started with fever, but now it's spreading."
Hypertension,I've seen signs of vision problems along with fatigue.
Cushing's Syndrome,I've seen signs of thin skin along with fatigue.
Hepatitis B,"There is a persistent issue with cough, and I'm concerned."
Multiple Sclerosis,"I've been having numbness, and it's been getting worse."
Malaria,My doctor mentioned that my pain could be related to Malaria.
Cushing's Syndrome,"It started with purple stretch marks, but now it's spreading."
Arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's heavy on behalf of Pine Tree State to run whereas not getting stiff. additionally, walking has been terribly uncomfortable."
Lupus,"There is a persistent issue with butterfly rash, and I'm concerned."
Sjogren's Syndrome,"It started with dry mouth, but now it's spreading."
Cervical Spondylosis,"It started with cough, but now it's spreading."
Cushing's Syndrome,"Lately, I noticed purple stretch marks, which is unusual for me."
Diphtheria,There’s a white-gray film forming in the back of my mouth
Typhoid,I have pain and also noticed related problems recently.
Ebola Virus,I’ve been fainting and losing consciousness randomly
Cervical Spondylosis,I'm feeling discomfort due to fever.
Drug Reaction,"I no longer want to have sex, and it's difficult for me to do so. I regularly have brain fog and a sense of confusion."
Chronic Kidney Disease,I feel dizzy when I stand up quickly
Hepatitis B,I've had mild fever and body pain for over a week.
Dengue,The body pain I have been feeling is extreme. I has lost my appetite and developed rashes on my arms and face. The back of my eyes pain a lot.
Jaundice,"Extreme itchiness, nausea, and fatigue have been troubling me. In moreover, I experienced a fever and lost weight. My pee is black, and I've developed a yellow rash. The ache in my stomach is also present."
Endometriosis,"Lately, I noticed infertility, which is unusual for me."
Common Cold,"There is a persistent issue with fatigue, and I'm concerned."
Typhoid,I am having severe stomach discomfort and diarrhoea. I have a high fever along with a headache. The previous several days have been really unpleasant.
Crohn's Disease,I have diarrhea and also noticed related problems recently.
Hiv/Aids,I have fatigue and also noticed related problems recently.
Cushing's Syndrome,"Lately, I noticed moon face, which is unusual for me."
Sjogren's Syndrome,"Whenever I rest, the joint pain seems to intensify."
Bladder Cancer,I’m having unexplained weight loss even though I’m eating normally
Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. There is a noticeable inflammation in my nails."
Typhoid,My doctor mentioned that my rash could be related to Typhoid.
Fungal Infection,"It started with cough, but now it's spreading."
Diabetes,"Particularly in the crevices of my skin, I have skin rashes and irritations. My skin bruises and cuts take a while to heal as well."
Lupus,I have fatigue and also noticed related problems recently.
Impetigo,I'm feeling discomfort due to fatigue.
Diabetes,"I struggle to focus and have emotional swings. At times, my head seems cloudy and foggy, making it challenging for me to do even simple tasks."
Parkinson's Disease,"I've been having tremors, and it's been getting worse."
Diphtheria,The soreness in my throat has spread to my ears
Crohn's Disease,"Whenever I rest, the weight loss seems to intensify."
Lupus,I have fever and also noticed related problems recently.
Gastroesophageal Reflux Disease,"Whenever I rest, the pain seems to intensify."
Sjogren's Syndrome,I have swollen salivary glands and also noticed related problems recently.
Migraine,"Whenever I rest, the visual disturbances seems to intensify."
Common Cold,The pain is affecting my daily life significantly.
Dimorphic Hemorrhoids,"I've been experiencing problems using the restroom recently. It's quite difficult for me to go, and it hurts when I do. I've also been experiencing buttock soreness and bloody stools. My anus has also been quite itching and sensitive."
Lupus,"There is a persistent issue with hair loss, and I'm concerned."
Parkinson's Disease,"Whenever I rest, the slowed movement seems to intensify."
Varicose Veins,"The veins on my legs are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing."
Sjogren's Syndrome,My doctor mentioned that my joint pain could be related to Sjogren's Syndrome.
Hypertension,I have headaches and also noticed related problems recently.
Endometriosis,I have pain during sex and also noticed related problems recently.
Malaria,My doctor mentioned that my fatigue could be related to Malaria.
Raynaud's Disease,"Lately, I noticed numbness, which is unusual for me."
Acne,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.
Hiv/Aids,I feel a burning sensation in my mouth.
Graves' Disease,My doctor mentioned that my goiter could be related to Graves' Disease.
Impetigo,"I have noticed that the sores on my face are healing more slowly and are more likely to become infected. My cheek sores are large, painful to the touch, and extremely difficult to handle. I can't seem to get rid of these sores."
Myasthenia Gravis,My doctor mentioned that my muscle weakness could be related to Myasthenia Gravis.
Hiv/Aids,There’s pain in my bones even when resting.
Fungal Infection,I've seen signs of fatigue along with fatigue.
Peptic Ulcer Disease,I have difficulty swallowing food and often get a sensation of the food getting stuck in my throat. I have constant belching and bloating. There is a persitent sour taste in my mouth
Multiple Sclerosis,"I've been having balance problems, and it's been getting worse."
Jaundice,"I've been feeling really scratchy, dizzy, and worn out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I get stomach pain."
Malaria,I've seen signs of fever along with fatigue.
Impetigo,I've seen signs of fever along with fatigue.
Bronchial Asthma,My doctor mentioned that my fever could be related to Bronchial Asthma.
Chronic Kidney Disease,I wake up with my face and eyes swollen almost every morning
Bladder Cancer,My doctor mentioned that my cough could be related to Bladder Cancer.
Varicose Veins,"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable."
Meniere's Disease,"Whenever I rest, the tinnitus seems to intensify."
Common Cold,I have pain and also noticed related problems recently.
Cushing's Syndrome,I've seen signs of purple stretch marks along with fatigue.
Common Cold,"I can't stop sneezing and my nose is really runny. I'm also really cold and tired all the time, and I've been coughing a lot. My fever is really high too, like way above normal."
Sarcoidosis,"I've been having skin lesions, and it's been getting worse."
Malaria,"Whenever I rest, the fever seems to intensify."
Dimorphic Hemorrhoids,"Constipation has made it quite difficult for me to use the restroom. My stool has been bloody when I do go, and it hurts. In addition, my anus has been quite itchy and inflamed, and I've been experiencing some butt soreness."
Diphtheria,"I've been having pain, and it's been getting worse."
Bronchial Asthma,"Whenever I rest, the fever seems to intensify."
Dimorphic Hemorrhoids,My doctor mentioned that my fatigue could be related to Dimorphic Hemorrhoids.
Psoriasis,The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.
Varicose Veins,I have been experiencing a rash on my legs that is causing a lot of irritation and discomfort. It is red and inflamed and appears to be spreading.
Diphtheria,"Lately, I noticed rash, which is unusual for me."
Gastroesophageal Reflux Disease,"My throat frequently feels like it is burning, especially after eating. Additionally, I occasionally get a sour or bitter aftertaste, which causes me to feel queasy."
Pneumonia,"I'm running a temperature and can't seem to catch my breath. I've been sweating tremendously and feeling overall unwell and weak. I've also had some thick, black phlegm. My heart has been beating frantically, and my chest hurts."
Bladder Cancer,The fever is affecting my daily life significantly.
Fungal Infection,"My skin has been acting up lately, becoming exceedingly itchy and prone to rashes. Furthermore, several patches differ from my normal skin tone in terms of colour. And now I have lumps or bumps on my skin that weren't there before."
Diabetes,"I've been drinking more water and urinating more frequently. My throat and mouth frequently feel dry. Recently, both my hunger and appetite have grown."
Ehlers-Danlos Syndrome,I have chronic pain and also noticed related problems recently.
Graves' Disease,"I've been having anxiety, and it's been getting worse."
Gastroesophageal Reflux Disease,"My tendency is to belch and burp frequently. I frequently get chest pain that spreads to my arm, jaw, and the back of my neck. There is pressure and stress in my chest."
Chronic Kidney Disease,"I’ve been having muscle cramps, especially at night"
Sarcoidosis,"It started with shortness of breath, but now it's spreading."
Common Cold,"My eyes are constantly red and runny. A persistent tightness in my sinuses has also been bothering me. I've been having a lot of difficulties breathing and constantly feel fatigued. In addition, I have a lot of throat mucus and inflamed lymph nodes."
Urinary Tract Infection,"I regularly vomit and get pelvic pain. There is occasionally blood in my pee, and it occasionally has an absolutely intolerable odour. I occasionally have trouble falling asleep because of my migraines."
Dimorphic Hemorrhoids,"Since I've been constipated, using the restroom has been quite challenging. When I do go, it aches and I've had blood in my stool. My anus has been quite itchy and irritating, and I've also been experiencing some discomfort in my butt."
Ehlers-Danlos Syndrome,"It started with chronic pain, but now it's spreading."
Common Cold,"There is a persistent issue with cough, and I'm concerned."
Gastroesophageal Reflux Disease,I often feel sick after eating and puke up the entire meal. I constantly get excruciating acid reflux and severe stomach pain.
Lupus,"It started with fatigue, but now it's spreading."
Acne,I awoke this morning to see a horrible rash on my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
Hypertension,I've seen signs of chest discomfort along with fatigue.
Ebola Virus,I'm sweating heavily and feel faint all the time
Chronic Kidney Disease,"There is a persistent issue with fever, and I'm concerned."
Chicken Pox,"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself."
Tuberculosis,A low-grade fever keeps coming back in the evenings.
Chronic Kidney Disease,There’s a dull ache in my lower back where the kidneys are
Meniere's Disease,My doctor mentioned that my vertigo could be related to Meniere's Disease.
Impetigo,I have fever and also noticed related problems recently.
Sjogren's Syndrome,"It started with swollen salivary glands, but now it's spreading."
Dengue,I have developed rashes on my body. I am also experiencing high fever along with chills and headache. My joints and back hurt and there is a strange pain in the back of my eyes.
Hypertension,"I've been experiencing dizziness and anxiousness, as well as a loss in my attention and concentration and ability to concentrate."
Sarcoidosis,My doctor mentioned that my shortness of breath could be related to Sarcoidosis.
Hiv/Aids,I'm feeling discomfort due to fever.
Common Cold,"Lately, I noticed cough, which is unusual for me."
Bronchial Asthma,"I must admit that I have been having a high fever, a persistent cough, and shortness of breath. In addition, I've been coughing up a lot of thick, mucoid saliva and I've been feeling really depleted and worn out."
Sjogren's Syndrome,"Lately, I noticed joint pain, which is unusual for me."
Multiple Sclerosis,I'm feeling discomfort due to tingling.
Myasthenia Gravis,My doctor mentioned that my muscle weakness could be related to Myasthenia Gravis.
Diabetes,I regularly experience these intense urges and the want to urinate. I frequently feel drowsy and lost. I've also significantly lost my vision.
Hypertension,The chest discomfort is affecting my daily life significantly.
Diphtheria,"There is a persistent issue with fatigue, and I'm concerned."
Cushing's Syndrome,"It started with weight gain, but now it's spreading."
Hiv/Aids,The pain is affecting my daily life significantly.
Fungal Infection,"It started with cough, but now it's spreading."
Meniere's Disease,"Whenever I rest, the nausea seems to intensify."
Drug Reaction,"I have headaches and migraines, and I have been having difficulties sleeping. My entire body has been shaking and twitching. Sometimes I become lightheaded."
Parkinson's Disease,"Lately, I noticed impaired balance, which is unusual for me."
Diabetes,"It started with slow healing wounds, but now it's spreading."
Multiple Sclerosis,"It started with numbness, but now it's spreading."
Arthritis,I've been feeling really weak in my muscles lately and my neck has been really stiff. My joints have been swollen and it's hard for me to move around. It's also been painful to walk.
Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain."
Hypertension,"I've been experiencing balance issues along with feeling dizzy and lightheaded. Additionally, I've seen a drop in my concentration and focus."
Jaundice,"I've been experiencing intense itchiness, nausea, and exhaustion. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additionally, my stomach hurts."
Acute Lymphoblastic Leukaemia,I’ve had dizzy spells and even blurred vision from time to time
Sjogren's Syndrome,The joint pain is affecting my daily life significantly.
Ebola Virus,I've been getting pain in my abdomen along with vomiting
Lupus,"There is a persistent issue with butterfly rash, and I'm concerned."
ALS,"Whenever I rest, the difficulty swallowing seems to intensify."
Dimorphic Hemorrhoids,"I've been constipated and it's really hard to go to the bathroom. When I do go, it hurts and my stool has been bloody. I've also been having some pain in my butt and my anus has been really itchy and irritated."
Graves' Disease,"It started with irregular heartbeat, but now it's spreading."
Impetigo,"Small red sores appeared near my nose and neck at first. I now have a high temperature, and the sores have gotten more painful and inflamed in recent days."
Lupus,I have hair loss and also noticed related problems recently.
Common Cold,"I keep sneezing, and my eyes don't quit dripping. It's incredibly difficult for me to breathe because it feels like there is something trapped in my throat. I often feel exhausted, and lately, I've had a lot of phlegm. Moreover, my lymph nodes are enlarged."
Cushing's Syndrome,I have moon face and also noticed related problems recently.
Hypertension,"It started with chest discomfort, but now it's spreading."
Graves' Disease,I'm feeling discomfort due to weight loss.
Lupus,I've seen signs of fatigue along with fatigue.
Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have been having abdominal pain as well."
Lupus,"There is a persistent issue with fatigue, and I'm concerned."
Acute Lymphoblastic Leukaemia,I'm feeling discomfort due to fatigue.
Allergy,"Whenever I rest, the pain seems to intensify."
Endometriosis,My doctor mentioned that my pain during sex could be related to Endometriosis.
Meniere's Disease,The vertigo is affecting my daily life significantly.
Migraine,"I have been experiencing acidity, indigestion, and frequent headaches, as well as blurred and distorted vision, excessive hunger, a stiff neck, depression, irritability, and visual disturbance."
Raynaud's Disease,"I've been having tingling, and it's been getting worse."
Parkinson's Disease,"There is a persistent issue with slowed movement, and I'm concerned."
Peptic Ulcer Disease,"I've been having cough, and it's been getting worse."
Diphtheria,I have swollen lymph nodes in my neck area
Raynaud's Disease,"Lately, I noticed pain in extremities, which is unusual for me."
Typhoid,"Diarrhea has been really watery and foul-smelling, and it's been accompanied by abdominal pain. I feel like vomiting most of the time."
Urinary Tract Infection,"It started with rash, but now it's spreading."
Drug Reaction,"I have itching all over my body, and rashes in my chest and back. I get flaky skin from time to time and often this leaves marks on my body."
Myasthenia Gravis,My doctor mentioned that my drooping eyelids could be related to Myasthenia Gravis.
Ehlers-Danlos Syndrome,I have easy bruising and also noticed related problems recently.
Malaria,"I'm suffering from severe itching, chills, vomiting, and a high fever. I've also been sweating a lot and have a headache. Nausea and muscle pain have also been causing me discomfort."
Tuberculosis,There’s tightness in my chest when I try to talk or breathe deeply.
Hypertension,"I have been having a headache, chest pain, dizziness, and trouble with my balance. It has also been hard for me to focus and concentrate."
Varicose Veins,"My calves have been cramping up when I walk or stand for long periods of time. There are bruise marks on my calves, which is making me worried. I feel tired very soon."
Cushing's Syndrome,"There is a persistent issue with muscle weakness, and I'm concerned."
Ebola Virus,"I've been having rash, and it's been getting worse."
Endometriosis,"It started with pain during sex, but now it's spreading."
Raynaud's Disease,My doctor mentioned that my numbness could be related to Raynaud's Disease.
Diphtheria,The glands in my neck have become very sensitive
Impetigo,"I'm running a high temperature. Near my nose, red sores are forming. The lesions are painful, and yellow rust-colored fluid is oozing from them."
Acute Lymphoblastic Leukaemia,The pain is affecting my daily life significantly.
Urinary Tract Infection,"Lately, I noticed pain, which is unusual for me."
Acne,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot."
Impetigo,I've seen signs of fever along with fatigue.
ALS,"It started with muscle cramps, but now it's spreading."
Multiple Sclerosis,My doctor mentioned that my muscle weakness could be related to Multiple Sclerosis.
Dengue,"My back hurts, and I have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I also have a mild fever, which is making us concerned about my health. "
Migraine,"I've been having sensitivity to light, and it's been getting worse."
Sjogren's Syndrome,The dry eyes is affecting my daily life significantly.
